month	total_rainfall	maximum_rainfall_in_a_day	no_of_rainy_days	mean_temp	max_temperature	temp_extremes_min
2017-07	79.6	30.2	9	28.3	32.4	23.5
2017-08	84.2	29.4	18	28.1	33	23.7
2017-09	124.4	20.2	19	28	32.4	22.3
2017-10	120.8	31.2	18	27.9	34.6	23.5
2017-11	268.6	45.2	24	27.1	32.5	23.1
2017-12	371.2	69.8	23	27	33.5	23.2
2018-01	287	45.8	25	26.1	33.2	21.3
2018-02	14.8	13	5	27.2	33.5	23.5
2018-03	44.6	15.2	10	28	34.2	23.6
2018-04	61.2	14	14	28.5	35	22.6
2018-05	132.2	47.4	19	28.7	34.2	23.6
2018-06	182.6	46.8	17	28.4	33.4	22.9
2018-07	143.2	32.4	10	28.5	33	21.9
2018-08	121.6	34.6	11	28.5	33.2	21.9
2018-09	144.4	45	13	28	33	21.4
2018-10	234.4	60.6	18	27.9	34.5	22.5
2018-11	169.6	20.6	27	27.3	33.4	22.4
2018-12	172.6	43.8	19	27.6	33.8	23.6
2019-01	63.6	38.2	9	28	33.4	23.5
2019-02	31.6	13.4	5	28.2	34.1	21.9
2019-03	72.2	29	6	28.7	34.8	22.3
2019-04	174.8	52.4	9	28.6	34.5	22.7
2019-05	69	17.2	13	29.3	34.7	22.8
2019-06	173.8	37.6	16	28.4	33	23.3
2019-07	12.2	6.6	8	29	33.4	23.9
2019-08	11.8	3.8	6	29.1	34	24.5
2019-09	22.8	16.4	4	29	34.3	22.9
2019-10	176.8	92.2	15	28.1	34.4	22.9
2019-11	137.4	73.4	15	28	34.4	22.9
2019-12	421.5	74.2	14	26.7	32.3	22.7
2020-01	88.4	38	6	27.7	32.8	23.8
2020-02	65	23.8	8	27.9	33.1	23.7
2020-03	108.8	47.4	8	28.6	34	24.1
2020-04	188	51.8	12	28.9	34.6	23.8
2020-05	255.6	53.8	16	28.9	34.5	23.6
2020-06	233.8	41	21	28.1	33	23.7
2020-07	140.8	30.4	22	27.9	32.5	23.7
2020-08	103.4	34.6	12	28.3	33	22.5
2020-09	150.2	32.8	18	27.5	33.2	21.9
2020-10	78.8	19	16	28.3	34.1	22.2
2020-11	220.6	64.2	19	27.2	33.4	23.3
2020-12	253.2	58.2	20	27.2	33.5	23
2021-01	692.8	210.6	17	26	31.6	21.7
2021-02	1	0.6	2	27.3	33.7	23.7
2021-03	182.4	38	14	27.9	34.2	23
2021-04	290.4	83.8	14	28.2	34.7	23.1
2021-05	245.8	49.8	13	28.7	33.6	22.9
2021-06	93.4	23.8	20	28.5	33.7	23.4
2021-07	195.8	75	12	28.6	33.4	23.2
2021-08	293.6	71.4	24	27.6	32.9	21.9
2021-09	205.4	63.4	14	28.3	33.3	22.5
2021-10	177	59.6	14	28.5	33.8	23.2
2021-11	312.4	47.8	23	27.6	33.9	22.8
2021-12	119.6	46.8	15	27.7	33.9	22.9
2022-01	99.8	50	9	27.4	33.1	23.2
2022-02	175	29.6	16	27.3	33.6	22.6
2022-03	163.2	36.2	21	28.1	34.2	23
2022-04	239.6	58.8	18	28.1	34	23.1
2022-05	102	44.6	12	29.2	35.4	23.5
2022-06	211.8	59.4	17	27.9	33.6	22.9
2022-07	145.2	27.8	16	28.6	32.9	22.2
2022-08	141.4	32.4	15	28.1	33.2	23.7
2022-09	121	38.2	14	27.9	32.6	22.4
